Data,Total Confirmados,Recuperados,Total Diário,Óbitos,Casos Ativos
"Mar 16, 2020",1,0,1,0,1
"Mar 17, 2020",1,0,0,0,1
"Mar 18, 2020",3,0,2,0,3
"Mar 19, 2020",3,0,0,0,3
"Mar 20, 2020",3,0,0,0,3
"Mar 21, 2020",3,0,0,0,3
"Mar 22, 2020",4,0,1,0,4
"Mar 23, 2020",4,0,0,0,4
"Mar 24, 2020",4,0,0,0,4
"Mar 25, 2020",4,0,0,0,4
"Mar 26, 2020",4,0,0,0,4
"Mar 27, 2020",4,0,0,0,4
"Mar 28, 2020",4,0,0,0,4
"Mar 29, 2020",5,0,1,0,5
"Mar 30, 2020",7,0,2,0,7
"Mar 31, 2020",13,0,6,0,13
"Apr 1, 2020",13,0,0,0,13
"Apr 2, 2020",14,0,1,0,14
"Apr 3, 2020",15,0,1,0,15
"Apr 4, 2020",15,0,0,0,15
"Apr 5, 2020",15,0,0,0,15
"Apr 6, 2020",15,3,0,0,12
"Apr 7, 2020",18,3,3,0,15
"Apr 8, 2020",19,3,1,0,16
"Apr 9, 2020",20,3,1,0,17
"Apr 10, 2020",20,3,0,1,17
"Apr 11, 2020",21,14,1,1,7
"Apr 12, 2020",23,14,2,1,9
"Apr 13, 2020",25,14,2,2,11
"Apr 14, 2020",25,14,0,2,11
"Apr 15, 2020",25,14,0,2,11
"Apr 16, 2020",28,14,3,2,14
"Apr 17, 2020",30,14,2,2,16
"Apr 18, 2020",31,14,1,2,17
"Apr 19, 2020",31,14,0,3,17
"Apr 20, 2020",35,16,4,3,19
"Apr 21, 2020",37,21,2,3,16
"Apr 22, 2020",43,21,6,3,22
"Apr 23, 2020",51,21,8,3,30
"Apr 24, 2020",53,21,2,3,32
"Apr 25, 2020",54,22,1,3,32
"Apr 26, 2020",54,27,0,3,27
"Apr 27, 2020",55,29,1,3,26
"Apr 28, 2020",58,34,3,3,24
"Apr 29, 2020",62,34,4,4,28
"Apr 30, 2020",62,34,0,4,28
"May 1, 2020",64,34,2,4,30
"May 2, 2020",64,39,0,4,25
"May 3, 2020",64,39,0,4,25
"May 4, 2020",66,41,2,4,25
"May 5, 2020",68,41,2,4,27
"May 6, 2020",74,47,6,4,27
"May 7, 2020",80,47,7,4,33
"May 8, 2020",87,47,7,4,40
"May 9, 2020",87,53,0,4,34
"May 10, 2020",88,53,1,4,35
"May 11, 2020",90,58,2,5,32
"May 12, 2020",97,59,7,5,38
"May 13, 2020",100,62,3,5,38
"May 14, 2020",104,62,4,5,42
"May 15, 2020",109,62,5,5,47
"May 16, 2020",110,62,1,5,48
"May 17, 2020",110,73,0,5,37
"May 18, 2020",122,73,12,5,49
"May 19, 2020",131,82,9,5,49
"May 20, 2020",139,89,8,5,50
"May 21, 2020",144,89,5,5,55
"May 22, 2020",154,89,10,6,65
"May 23, 2020",165,99,11,6,66
"May 24, 2020",166,103,1,6,63
"May 25, 2020",174,105,8,6,69
"May 26, 2020",181,112,7,6,69
"May 27, 2020",185,115,4,6,70
"May 28, 2020",200,119,15,6,81
"May 29, 2020",217,121,17,6,96
"May 30, 2020",219,124,2,7,95
"May 31, 2020",220,132,1,7,88
"Jun 1, 2020",249,139,31,7,110
"Jun 2, 2020",259,148,10,9,111
"Jun 3, 2020",294,157,35,9,137
"Jun 4, 2020",330,164,38,9,166
"Jun 5, 2020",345,170,15,10,175
"Jun 6, 2020",354,180,9,11,174
"Jun 7, 2020",358,190,2,11,168
"Jun 8, 2020",375,200,13,11,175
"Jun 9, 2020",399,205,22,12,194
"Jun 10, 2020",418,207,4,13,211
"Jun 11, 2020",425,208,5,13,217
"Jun 12, 2020",445,210,5,13,235
"Jun 13, 2020",450,220,5,13,230
"Jun 14, 2020",453,214,3,14,239
"Jun 15, 2020",471,219,18,16,252
"Jun 16, 2020",504,219,33,17,285
"Jun 17, 2020",526,247,22,18,279
"Jun 18, 2020",537,257,11,19,280
"Jun 19, 2020",545,293,8,20,252
"Jun 20, 2020",546,293,1,21,253